"TAX_INCLUSIVE_YN","RESORT","FREQUENT_FLYER_YN","TRX_CODE","TC_GROUP","TC_SUBGROUP","TCL_CODE_DFLT_CL1","TCL_CODE_DFLT_CL2","CLASS_1_MANDATORY_YN","CLASS_2_MANDATORY_YN","DESCRIPTION","TC_TRANSACTION_TYPE","IS_MANUAL_POST_ALLOWED","RESULT_INCLUDED_IN_SUM_ARRAY","CC_TYPE","COMMISSION","CC_CODE","IND_BILLING","IND_AR","CURRENCY","IND_REVENUE_GP","ADJ_TRX_CODE","ARRANGE_CODE","EXPENSE_FOLIO","GROUP_FOLIO","REV_BUCKET_ID","REV_GP_ID","IND_CASH","IND_DEPOSIT_YN","DEFERRED_YN","AR_NAME_ID","TRX_CODE_TYPE","INSERT_USER","INSERT_DATE","UPDATE_USER","UPDATE_DATE","TC_RESORT","TC_BOF_REF_CODE","TC_BOF_INTERFACE","TC_RESORT2","TC_BOF_REF_CODE2","TC_BOF_INTERFACE2","CRS_TAX_DESC","TAX_CODE_NO","TRX_ACTION_ID","EXPORT_BUCKET","INH_SALES_YN","INH_PAY_YN","INH_DEPOSIT_YN","FISCAL_TRX_CODE_TYPE","COMP_YN","DEFAULT_PRICE","INACTIVE_DATE","PAYMENT_TAX_INVOICE_YN","INTERNAL_YN","FISCAL_PAYMENT_YN","COMP_NIGHTS_YN","ROTATION_REV_YN","OWNER_REV_YN","CHECK_NO_MANDATORY_YN","DED_OWNER_REV_YN","NON_TAXABLE_YN","COMP_PAYMENT_YN","MIN_AMT","MAX_AMT","TRX_SERVICE_TYPE","DAILY_PLAN_FOLIO","TRX_CODE_DISPLAY","INCLUDE_IN_DEPOSIT_RULE_YN","INCLUDE_IN_8300_YN","MANUAL_POST_COVERS_YN","ROUND_FACTOR_YN","DEPOSIT_POSTING_ONLY_YN","TRX_TAX_TYPE_CODE","DEPOSIT_TYPE","GP_POINTS_REDEMPTION_YN","EXTERNAL_PAYMENT_CODE","E_INVOICE_YN","CORP_PROP_FLAG","CORPORATE_DESCRIPTION","PRINT_RECEIPT_YN","SERVICE_RECOVERY_TRX_CODE","ACCOUNTING_CODE","QUANTITY_CODE","UPC_CODE"
"Y","VILU","N","10000","ACC","ACRV","","","","","Accommodation- Wholesale","C    ","Y","111","",0,"","N","N","","Y","10500","10502",,,,,"N","N","N",,"L",2,10-JUN-14,2,11-JAN-23,"","","","","","","",,132274,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","Y","","","N","","","","N","","","","","","","","",""
"Y","VILU","N","10001","ACC","ACRV","","","","","Accommodation -Direct","C    ","Y","111","",0,"","N","N","","Y","10501","10502",,,,,"N","N","N",,"L",2,30-OCT-15,2,30-NOV-22,"","","","","","","",,127677,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","Y","","","","","","","N","","","","","","","","",""
"N","VILU","N","10060","MSC","MSRV","","","","","Accommodation No Show- Direct","C    ","Y","","",0,"","N","N","","Y","10560","10502",,,,,"N","N","N",,"O",2,10-JUN-14,2,07-JUN-20,"","","","","","","",,100704,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","Y","","","","","","","N","","","","","","","","",""
"Y","VILU","N","10061","MSC","MSRV","","","","","Accommodation No Show- WSL","C    ","Y","111","",0,"","N","N","","Y","10561","10502",,,,,"N","N","N",,"O",523,30-OCT-15,4642,02-JAN-21,"","","","","","","",,103204,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","Y","","","","","","","N","","","","","","","","",""
"Y","VILU","N","10062","ACC","ACRV","","","","","Accommodation Early Departure Fee","C    ","Y","111","",0,"","N","N","","Y","10562","10502",,,,,"N","N","N",,"L",2,10-JUN-14,802,31-OCT-15,"","","","","","","",,41921,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","Y","","","","","","","N","","","","","","","","",""
"Y","VILU","N","10063","ACC","ACRV","","","","","Accommodation Manual","C    ","Y","111","",0,"","N","N","","Y","10563","10502",,,,,"N","N","N",,"L",2,10-JUN-14,5922,07-JUL-22,"","","","","","","",,119959,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","Y","","","","","","","N","","","","","","","","",""
"Y","VILU","N","10064","ACC","ACRV","","","","","Accommodation Late Departure Fee","C    ","Y","111","",0,"","N","N","","Y","10564","10502",,,,,"N","N","N",,"L",2,10-JUN-14,802,31-OCT-15,"","","","","","","",,41919,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","Y","","","","","","","N","","","","","","","","",""
"Y","VILU","N","10065","MSC","MSRV","","","","","Accommodation  Cancellations- WSL","C    ","Y","111","",0,"","N","N","","Y","10565","10502",,,,,"N","N","N",,"O",2,10-JUN-14,4642,02-JAN-21,"","","","","","","",,103206,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","Y","","","","","","","N","","","","","","","","",""
"Y","VILU","N","10066","ACC","ACRV","","","","","Accommodation Upsell","C    ","Y","111","",0,"","N","N","","Y","10566","10502",,,,,"N","N","N",,"L",2,10-JUN-14,802,31-OCT-15,"","","","","","","",,41924,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","Y","","","","","","","N","","","","","","","","",""
"Y","VILU","N","10067","F&B","TARV","","","","","Meal Upgrade","C    ","Y","111","",0,"","N","N","","Y","10567","",,,,,"N","N","N",,"F",523,31-OCT-15,523,31-OCT-15,"","","","","","","",,42280,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","Y","","","","","","","N","","","","","","","","",""
